uid,year,state,cigsale,lnincome,beer,age15to24,retprice,time,california,cal_trend,tax_dummy,tax_trend,cal_tax_dummy,cal_tax_trend
1,1970,Alabama,89.800003,,,0.1788618,39.599998,0,0,0,0,0,0,0
2,1971,Alabama,95.400002,,,0.1799278,42.700001,1,0,0,0,0,0,0
3,1972,Alabama,101.1,9.498476,,0.1809939,42.299999,2,0,0,0,0,0,0
4,1973,Alabama,102.9,9.550107,,0.1820599,42.099998,3,0,0,0,0,0,0
5,1974,Alabama,108.2,9.5371628,,0.183126,43.099998,4,0,0,0,0,0,0
6,1975,Alabama,111.7,9.5400314,,0.18419211,46.599998,5,0,0,0,0,0,0
7,1976,Alabama,116.2,9.5919085,,0.18525811,50.400002,6,0,0,0,0,0,0
8,1977,Alabama,117.1,9.6174955,,0.18632419,50.099998,7,0,0,0,0,0,0
9,1978,Alabama,123,9.6540718,,0.18739019,55.099998,8,0,0,0,0,0,0
10,1979,Alabama,121.4,9.6491804,,0.1884563,56.799999,9,0,0,0,0,0,0
11,1980,Alabama,123.2,9.6121941,,0.1895223,60.599998,10,0,0,0,0,0,0
12,1981,Alabama,119.6,9.6095943,,0.1858422,68.800003,11,0,0,0,0,0,0
13,1982,Alabama,119.1,9.59758,,0.18216211,73.099998,12,0,0,0,0,0,0
14,1983,Alabama,116.3,9.6267691,,0.178482,84.400002,13,0,0,0,0,0,0
15,1984,Alabama,113,9.6716213,18,0.1748019,90.800003,14,0,0,0,0,0,0
16,1985,Alabama,114.5,9.7031927,18.700001,0.17112181,99,15,0,0,0,0,0,0
17,1986,Alabama,116.3,9.7459497,19.299999,0.1674417,103,16,0,0,0,0,0,0
18,1987,Alabama,114,9.7620916,19.4,0.1637616,110,17,0,0,0,0,0,0
19,1988,Alabama,112.1,9.7817698,19.4,0.16008151,114.4,18,0,0,0,0,0,0
20,1989,Alabama,105.6,9.8025274,19.4,0.1564014,122.3,19,0,0,1,0,0,0
21,1990,Alabama,108.6,9.81429,20.1,0.1527212,139.10001,20,0,0,1,1,0,0
22,1991,Alabama,107.9,9.8192596,20.1,,144.39999,21,0,0,1,2,0,0
23,1992,Alabama,109.1,9.8452864,20.4,,172.2,22,0,0,1,3,0,0
24,1993,Alabama,108.5,9.8521605,20.299999,,176.2,23,0,0,1,4,0,0
25,1994,Alabama,107.1,9.8793344,21,,154.60001,24,0,0,1,5,0,0
26,1995,Alabama,102.6,9.9244041,20.6,,155.10001,25,0,0,1,6,0,0
27,1996,Alabama,101.4,9.9400272,21,,158.3,26,0,0,1,7,0,0
28,1997,Alabama,104.9,9.9372702,20.799999,,167.39999,27,0,0,1,8,0,0
29,1998,Alabama,106.2,,,,180.5,28,0,0,1,9,0,0
30,1999,Alabama,100.7,,,,195.60001,29,0,0,1,10,0,0
31,2000,Alabama,96.199997,,,,270.70001,30,0,0,1,11,0,0
32,1970,Arkansas,100.3,,,0.16900679,36.700001,0,0,0,0,0,0,0
33,1971,Arkansas,104.1,,,0.1699539,38.799999,1,0,0,0,0,0,0
34,1972,Arkansas,103.9,9.4645138,,0.170901,44.099998,2,0,0,0,0,0,0
35,1973,Arkansas,108,9.5568304,,0.171848,45.099998,3,0,0,0,0,0,0
36,1974,Arkansas,109.7,9.5422859,,0.1727951,45.5,4,0,0,0,0,0,0
37,1975,Arkansas,114.8,9.5140944,,0.1737422,48.599998,5,0,0,0,0,0,0
38,1976,Arkansas,119.1,9.5581532,,0.17468929,50.900002,6,0,0,0,0,0,0
39,1977,Arkansas,122.6,9.5909233,,0.1756364,52.599998,7,0,0,0,0,0,0
40,1978,Arkansas,127.3,9.657238,,0.1765835,56.5,8,0,0,0,0,0,0
41,1979,Arkansas,126.5,9.6335325,,0.1775306,58.400002,9,0,0,0,0,0,0
42,1980,Arkansas,131.8,9.5738029,,0.1784777,61.5,10,0,0,0,0,0,0
43,1981,Arkansas,128.7,9.5930414,,0.1750111,64.699997,11,0,0,0,0,0,0
44,1982,Arkansas,127.4,9.5737,,0.17154451,72.099998,12,0,0,0,0,0,0
45,1983,Arkansas,128,9.5930529,,0.1680779,82,13,0,0,0,0,0,0
46,1984,Arkansas,123.1,9.6504402,17.9,0.1646114,93.599998,14,0,0,0,0,0,0
47,1985,Arkansas,125.8,9.6755266,18.1,0.16114479,98.5,15,0,0,0,0,0,0
48,1986,Arkansas,126,9.7059393,18.700001,0.1576782,103.6,16,0,0,0,0,0,0
49,1987,Arkansas,122.3,9.705574,19,0.1542116,113,17,0,0,0,0,0,0
50,1988,Arkansas,121.5,9.7215319,18.9,0.150745,119.9,18,0,0,0,0,0,0
51,1989,Arkansas,118.3,9.7373695,19,0.1472785,127.7,19,0,0,1,0,0,0
52,1990,Arkansas,113.1,9.736311,19.9,0.1438119,141.2,20,0,0,1,1,0,0
53,1991,Arkansas,116.8,9.7430677,19.9,,146.5,21,0,0,1,2,0,0
54,1992,Arkansas,126,9.7886286,20,,177.3,22,0,0,1,3,0,0
55,1993,Arkansas,113.8,9.7851419,19.700001,,179.89999,23,0,0,1,4,0,0
56,1994,Arkansas,108.8,9.8136311,19.700001,,168.10001,24,0,0,1,5,0,0
57,1995,Arkansas,113,9.86446,19.5,,167.3,25,0,0,1,6,0,0
58,1996,Arkansas,110.7,9.8852339,20.1,,167.10001,26,0,0,1,7,0,0
59,1997,Arkansas,108.7,9.8831072,19.799999,,181.3,27,0,0,1,8,0,0
60,1998,Arkansas,109.5,,,,187.3,28,0,0,1,9,0,0
61,1999,Arkansas,104.8,,,,206.89999,29,0,0,1,10,0,0
62,2000,Arkansas,99.400002,,,,279.29999,30,0,0,1,11,0,0
63,1970,California,123,,,0.1781583,38.799999,0,1,0,0,0,0,0
64,1971,California,121,,,0.1792964,39.700001,1,1,1,0,0,0,0
65,1972,California,123.5,9.9308138,,0.18043441,39.900002,2,1,2,0,0,0,0
66,1973,California,124.4,9.9550924,,0.18157239,39.900002,3,1,3,0,0,0,0
67,1974,California,126.7,9.947999,,0.18271039,41.900002,4,1,4,0,0,0,0
68,1975,California,127.1,9.9371672,,0.1838485,45,5,1,5,0,0,0,0
69,1976,California,128,9.9768581,,0.1849865,48.299999,6,1,6,0,0,0,0
70,1977,California,126.4,10.0027,,0.1861245,49,7,1,7,0,0,0,0
71,1978,California,126.1,10.04556,,0.18726251,58.700001,8,1,8,0,0,0,0
72,1979,California,121.9,10.05469,,0.1884006,60.099998,9,1,9,0,0,0,0
73,1980,California,120.2,10.03784,,0.1895386,62.099998,10,1,10,0,0,0,0
74,1981,California,118.6,10.02863,,0.1855371,66.400002,11,1,11,0,0,0,0
75,1982,California,115.4,10.01253,,0.1815355,72.800003,12,1,12,0,0,0,0
76,1983,California,110.8,10.03174,,0.17753389,84.900002,13,1,13,0,0,0,0
77,1984,California,104.8,10.07536,25,0.1735324,94.900002,14,1,14,0,0,0,0
78,1985,California,102.8,10.0997,24,0.16953079,98,15,1,15,0,0,0,0
79,1986,California,99.699997,10.12727,24.700001,0.1655293,104.4,16,1,16,0,0,0,0
80,1987,California,97.5,10.1343,24.1,0.16152769,103.9,17,1,17,0,0,0,0
81,1988,California,90.099998,10.14166,23.6,0.1575262,117.4,18,1,18,0,0,0,0
82,1989,California,82.400002,10.14231,23.700001,0.15352461,126.4,19,1,19,1,0,1,0
83,1990,California,77.800003,10.14162,23.799999,0.149523,163.8,20,1,20,1,1,1,1
84,1991,California,68.699997,10.11071,22.299999,,186.8,21,1,21,1,2,1,2
85,1992,California,67.5,10.11494,21.299999,,201.89999,22,1,22,1,3,1,3
86,1993,California,63.400002,10.0985,20.799999,,205.10001,23,1,23,1,4,1,4
87,1994,California,58.599998,10.09951,20.1,,190.3,24,1,24,1,5,1,5
88,1995,California,56.400002,10.15592,19.700001,,195.10001,25,1,25,1,6,1,6
89,1996,California,54.5,10.17864,19.1,,197.89999,26,1,26,1,7,1,7
90,1997,California,53.799999,10.17519,19.5,,200.3,27,1,27,1,8,1,8
91,1998,California,52.299999,,,,207.8,28,1,28,1,9,1,9
92,1999,California,47.200001,,,,224.89999,29,1,29,1,10,1,10
93,2000,California,41.599998,,,,351.20001,30,1,30,1,11,1,11
94,1970,Colorado,124.8,,,0.1909502,29.4,0,0,0,0,0,0,0
95,1971,Colorado,125.5,,,0.1916476,31.1,1,0,0,0,0,0,0
96,1972,Colorado,134.3,9.8055477,,0.19234499,31.200001,2,0,0,0,0,0,0
97,1973,Colorado,137.89999,9.8484135,,0.19304229,32.700001,3,0,0,0,0,0,0
98,1974,Colorado,132.8,9.8404512,,0.1937397,38.099998,4,0,0,0,0,0,0
99,1975,Colorado,131,9.8284607,,0.1944371,41.700001,5,0,0,0,0,0,0
100,1976,Colorado,134.2,9.8589134,,0.1951344,44.799999,6,0,0,0,0,0,0
101,1977,Colorado,132,9.8884468,,0.19583181,44.700001,7,0,0,0,0,0,0
102,1978,Colorado,129.2,9.9337511,,0.19652911,57.400002,8,0,0,0,0,0,0
103,1979,Colorado,131.5,9.9422197,,0.19722649,52.799999,9,0,0,0,0,0,0
104,1980,Colorado,131,9.9436121,,0.1979239,54.599998,10,0,0,0,0,0,0
105,1981,Colorado,133.8,9.9572725,,0.19186869,58.099998,11,0,0,0,0,0,0
106,1982,Colorado,130.5,9.9626169,,0.18581361,61.400002,12,0,0,0,0,0,0
107,1983,Colorado,125.3,9.9780369,,0.1797584,73.300003,13,0,0,0,0,0,0
108,1984,Colorado,119.7,10.00205,25.700001,0.1737033,83.400002,14,0,0,0,0,0,0
109,1985,Colorado,112.4,10.00078,25.200001,0.16764811,93.099998,15,0,0,0,0,0,0
110,1986,Colorado,109.9,10.00159,25.5,0.1615929,95.099998,16,0,0,0,0,0,0
111,1987,Colorado,102.4,9.9944267,24.799999,0.1555378,108.6,17,0,0,0,0,0,0
112,1988,Colorado,94.599998,10.01883,24.200001,0.14948259,116,18,0,0,0,0,0,0
113,1989,Colorado,88.800003,10.04306,23.9,0.14342751,130.8,19,0,0,1,0,0,0
114,1990,Colorado,87.400002,10.04625,24.200001,0.1373723,149.3,20,0,0,1,1,0,0
115,1991,Colorado,90.199997,10.05476,23.5,,152.60001,21,0,0,1,2,0,0
